t,theta_rad,omega_sc,omega_rw,T_dist,T_applied,T_des,yaw_err_deg
51.34,0.6904292136117867,-0.035727783406371,7.145549644186959,3.3304155165953284e-09,-5e-05,-5e-05,-9.558679992491747
51.36,0.6897136579384548,-0.03577778366658922,7.155549644186959,-2.6021822291401165e-10,-5e-05,-5e-05,-9.517681672403192
51.38,0.6889971022170946,-0.035827786068011395,7.165549644186958,-2.401422170360775e-09,-5e-05,-5e-05,-9.476626053783301
51.4,0.6882795465376409,-0.035877783972688856,7.175549644186958,2.0953225383671474e-09,-5e-05,-5e-05,-9.43551314178496
51.42,0.6875609908667337,-0.03592778354535644,7.185549644186958,4.273324176072482e-10,-5e-05,-5e-05,-9.394342934496786
51.44,0.6868414352198489,-0.03597778234424354,7.195549644186958,1.2011128929899225e-09,-5e-05,-5e-05,-9.353115432805478
51.46,0.6861208795155865,-0.03602778521311619,7.2055496441869575,-2.868872645956668e-09,-5e-05,-5e-05,-9.31183063204717
51.480000000000004,0.685399323862039,-0.03607778267738023,7.215549644186957,2.5357359599110007e-09,-5e-05,-5e-05,-9.270488538415089
51.5,0.6846767681109581,-0.036127787554038636,7.225549644186957,-4.876658406417889e-09,-5e-05,-5e-05,-9.229089143415253
51.52,0.6839532123233352,-0.03617778938114925,7.235549644186957,-1.827110615699001e-09,-5e-05,-5e-05,-9.187632450542193
51.54,0.6832286565322555,-0.03622778955398032,7.245549644186957,-1.7283107295668878e-10,-5e-05,-5e-05,-9.146118461691566
51.56,0.6825031007368811,-0.036277789768717886,7.2555496441869565,-2.147375632539098e-10,-5e-05,-5e-05,-9.104547176815357
51.58,0.6817765449240537,-0.03632779064137251,7.265549644186956,-8.726546222089106e-10,-5e-05,-5e-05,-9.06291859515965
51.6,0.6810489890995645,-0.03637779122445952,7.275549644186956,-5.830870084413688e-10,-5e-05,-5e-05,-9.021232717056254
51.620000000000005,0.6803204332643503,-0.0364277917607068,7.285549644186956,-5.362472802791352e-10,-5e-05,-5e-05,-8.979489542558856
51.64,0.6795908774426026,-0.03647779108738343,7.295549644186956,6.7332336848016e-10,-5e-05,-5e-05,-8.937689073053512
51.660000000000004,0.6788603216334286,-0.036527790458700894,7.305549644186955,6.286825331567555e-10,-5e-05,-5e-05,-8.895831308489075
51.68,0.6781287657983296,-0.036577791754949074,7.315549644186955,-1.2962481825827254e-09,-5e-05,-5e-05,-8.853916246659736
51.7,0.677396210076112,-0.036627786110879745,7.325549644186955,5.644069328535742e-09,-5e-05,-5e-05,-8.811943895518507
51.72,0.6766626543347265,-0.036677787069273146,7.335549644186955,-9.583934023156136e-10,-5e-05,-5e-05,-8.76991424749953
51.74,0.675928098723636,-0.03672778055452254,7.3455496441869546,6.514750606437509e-09,-5e-05,-5e-05,-8.727827311166392
51.76,0.6751925431523116,-0.03677777856621988,7.355549644186954,1.9883026591576924e-09,-5e-05,-5e-05,-8.685683081332169
51.78,0.6744559875421035,-0.03682778051040875,7.365549644186954,-1.9441888653983746e-09,-5e-05,-5e-05,-8.64348155349056
51.800000000000004,0.673718431936168,-0.03687778029677475,7.375549644186954,2.1363399721800595e-10,-5e-05,-5e-05,-8.601222730114243
51.82,0.6729798761872038,-0.03692778744820977,7.385549644186954,-7.151435018920388e-09,-5e-05,-5e-05,-8.558906602763471
51.84,0.6722403204395576,-0.036977787382310494,7.3955496441869535,6.589927726407042e-11,-5e-05,-5e-05,-8.516533179708704
51.86,0.6714997647931021,-0.0370277823227717,7.405549644186953,5.059538795735476e-09,-5e-05,-5e-05,-8.474102466672223
51.88,0.6707582091433835,-0.03707778248593327,7.415549644186953,-1.6316156576397662e-10,-5e-05,-5e-05,-8.43161445766926
51.9,0.6700156533927848,-0.03712778752993334,7.425549644186953,-5.044000075648565e-09,-5e-05,-5e-05,-8.389069147106788
51.92,0.6692720976113811,-0.03717778907018833,7.435549644186953,-1.5402549908020277e-09,-5e-05,-5e-05,-8.346466538999803
51.94,0.6685275417795803,-0.03722779159003664,7.445549644186952,-2.5198483096556934e-09,-5e-05,-5e-05,-8.303806632225765
51.96,0.6677819859848064,-0.03727778973869126,7.455549644186952,1.8513453785427734e-09,-5e-05,-5e-05,-8.261089431793701
51.980000000000004,0.6670354301848298,-0.037327789998833655,7.465549644186952,-2.601423958728096e-10,-5e-05,-5e-05,-8.218314935284027
52.0,0.6662878743186587,-0.03737779330855961,7.475549644186952,-3.3097259556273327e-09,-5e-05,-5e-05,-8.175483139202175
52.02,0.6655393185035405,-0.037427790755908664,7.485549644186952,2.552650946743099e-09,-5e-05,-5e-05,-8.132594050265931
52.04,0.6647897627068289,-0.03747778983558111,7.495549644186951,9.203275577814383e-10,-5e-05,-5e-05,-8.089647666604787
52.06,0.6640392069078025,-0.03752778995132117,7.505549644186951,-1.1574006015279113e-10,-5e-05,-5e-05,-8.046643987031507
52.08,0.6632876510736819,-0.03757779170602888,7.515549644186951,-1.7547077145461821e-09,-5e-05,-5e-05,-8.003583009667963
52.1,0.6625350952268326,-0.03762779234246426,7.525549644186951,-6.364353803012642e-10,-5e-05,-5e-05,-7.960464735795605
52.120000000000005,0.6617815393426497,-0.037677794209146104,7.5355496441869505,-1.866681844165282e-09,-5e-05,-5e-05,-7.917289164004675
52.14,0.6610269834459782,-0.037727794833573254,7.54554964418695,-6.244271534865492e-10,-5e-05,-5e-05,-7.874056295718688
52.160000000000004,0.6602714275612962,-0.037777794234099084,7.55554964418695,5.994741706033849e-10,-5e-05,-5e-05,-7.830766132340136
52.18,0.659514871714258,-0.0378277923519095,7.56554964418695,1.8821895834768704e-09,-5e-05,-5e-05,-7.7874186753389045
52.2,0.6587573158509102,-0.037877793167389345,7.57554964418695,-8.154798429286942e-10,-5e-05,-5e-05,-7.7440139216236865
52.22,0.657998759954173,-0.03792779483686381,7.585549644186949,-1.6694744635622314e-09,-5e-05,-5e-05,-7.7005518702158815
52.24,0.6572392040014695,-0.03797779763517329,7.595549644186949,-2.7983094827689157e-09,-5e-05,-5e-05,-7.657032519821932
52.26,0.6564786480179604,-0.03802779917545438,7.605549644186949,-1.5402810929728438e-09,-5e-05,-5e-05,-7.613455871883439
52.28,0.6557170920191048,-0.038077799942780675,7.615549644186949,-7.673262920270916e-10,-5e-05,-5e-05,-7.569821927286142
52.300000000000004,0.654954536059308,-0.03812779798984215,7.625549644186949,1.952938524430865e-09,-5e-05,-5e-05,-7.526130689147238
52.32,0.6541909800986369,-0.038177798033557774,7.635549644186948,-4.3715626113580235e-11,-5e-05,-5e-05,-7.482382155178725
52.34,0.6534264241646511,-0.038227796699284784,7.645549644186948,1.3342729883545461e-09,-5e-05,-5e-05,-7.4385763269596605
52.36,0.6526608682259548,-0.038277796934818,7.655549644186948,-2.355332093458126e-10,-5e-05,-5e-05,-7.394713202691186
52.38,0.6518943122227739,-0.038327800159041206,7.665549644186948,-3.2242232072835474e-09,-5e-05,-5e-05,-7.350792778948505
52.4,0.6511267562513806,-0.03837779856966859,7.6755496441869475,1.5893726172440583e-09,-5e-05,-5e-05,-7.306815061247603
52.42,0.6503582003086348,-0.03842779713729275,7.685549644186947,1.4323758379293869e-09,-5e-05,-5e-05,-7.262780049408569
52.44,0.6495886443564032,-0.03847779761158007,7.695549644186947,-4.742873176075655e-10,-5e-05,-5e-05,-7.2186877412465265
52.46,0.6488180884360032,-0.03852779601999991,7.705549644186947,1.5915801680247183e-09,-5e-05,-5e-05,-7.174538139128789
52.480000000000004,0.6480465325450551,-0.03857779454740801,7.715549644186947,1.4725918911012203e-09,-5e-05,-5e-05,-7.130331242919005
52.5,0.6472739766952743,-0.03862779248904003,7.7255496441869465,2.0583679821814344e-09,-5e-05,-5e-05,-7.086067053288425
52.52,0.6465004208395297,-0.038677792787230804,7.735549644186946,-2.9819077006874667e-10,-5e-05,-5e-05,-7.041745567536631
52.54,0.6457258650130728,-0.03872779132284832,7.745549644186946,1.4643824852888472e-09,-5e-05,-5e-05,-6.997366787683382
52.56,0.6449503092327461,-0.0387777890163383,7.755549644186946,2.306510025417978e-09,-5e-05,-5e-05,-6.952930714693685
52.58,0.6441737534726943,-0.03882778800258666,7.765549644186946,1.013751639049239e-09,-5e-05,-5e-05,-6.908437347086146
52.6,0.6433961977446617,-0.038877786401628756,7.775549644186945,1.6009579065969196e-09,-5e-05,-5e-05,-6.863886685533655
